 Transaction No ,date,Product Number,product_name ,Price($),Qty,Customer No, Country
575706,2019-11-10,22385,Jumbo Bag Spaceboy Design!!,free,ten,14713.0,United Kingdom
570188,"October 07, 2019",22149,FELTCRAFT 6 FLOWER FRIENDS,free,40.0,13763.0,United Kingdom
567821,2019-09-22,22142,Christmas Craft White Fairy✨,11.74,N/A,14659.0,England
537236,1544054400000000000,21216,Set 3 Retrospot Tea/Coffee/Sugar!!,15.32,8.0,16858.0,U.K.
558810,2019-07-04,22029,spaceboy birthday card,11.1,1.0,16810.0,Gr8 Britain
554123,22-May-2019,21713,Citronella Candle Flowerpot???,free,8.0,16818.0,GB
580983,06-Dec-2019,21650,assorted tutti frutti bracelet,6.19,16.0,16983.0,U.K.
579777,1575072000000000000,23132,Small Ivory Heart Wall Organiser???,6.19 EUR,N/A,13777.0,Gr8 Britain
554694,"May 25, 2019",22465,Hanging Metal Star Lantern@@,$13.62,3.0,13694.0,U.K.
555327,"June 02, 2019",21929,jumbo bag pink vintage paisley,$7.24,1.0,16327.0,UK
570228,"October 09, 2019",22962,jam jar with pink lid,11.12 EUR,2.0,15821.0,Gr8 Britain
554526,"May 24, 2019",22326,Round Snack Boxes Set Of4 Woodland##,$13.27,ten,17526.0,U.K.
570116,10/7/2019,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,14.09,2.0,12856.0,UK
550468,4/18/2019,22150,3 Stripey Mice Feltcraft##,12.25,6.0,16700.0,United Kingdom
541422,1547683200000000000,90214B,"Letter ""B"" Bling Key Ring✨",11.1,1.0,12422.0,Australia
562132,03-Aug-2019,22080,RIBBON REEL POLKADOTS,11.94,10.0,13384.0,united kingdom
571899,1571443200000000000,85049E,Scandinavian Reds Ribbons???,11.53,1.0,16885.0,UK
563662,8/18/2019,23080,Red Metal Box Top Secret???,free,ten,12729.0,France
557055,"June 16, 2019",23209,Lunch Bag Vintage Doily@@,free,40.0,12621.0,Germany
543546,09-Feb-2019,85123A,Cream Hanging Heart T-Light Holder ,16.18,1.0,16546.0,united kingdom
547689,1553385600000000000,22430,Enamel Watering Can Cream ,15.32,2.0,17757.0,United Kingdom
552508,2019-05-09,22686,French Blue Metal Door Sign No@@,12.77,1.0,15508.0,united kingdom
540387,"January 06, 2019",22524,childrens garden gloves blue,11.53 EUR,N/A,16306.0,united kingdom
556121,6/9/2019,82552,washroom metal sign,$11.74,N/A,15855.0,U.K.
559061,1562371200000000000,21470,flower vine raffia food cover,14.09 EUR,1.0,17220.0,United Kingdom
567928,1569110400000000000,22628,Picnic Boxes Set Of 3 Retrospot ,15.32,N/A,12380.0,Belgium
539042,15-Dec-2018,20971,pink blue felt craft trinket box,$11.53,N/A,15062.0,Gr8 Britain
571279,16-Oct-2019,23404,Home Sweet Home Blackboard✨,15.32,1.0,16466.0,England
560997,2019-07-22,22650,CERAMIC PIRATE CHEST MONEY BANK,11.74,12.0,12627.0,Germany
,,,,,,,
563016,8/11/2019,16161U,wrap suki and friends,$10.68,25.0,15358.0,UK
577773,21-Nov-2019,22845,Vintage Cream Cat Food Container##,$16.76,ten,16712.0,United Kingdom
565611,05-Sep-2019,23318,Box Of 6 Mini Vintage Crackers!!,12.8,12.0,14849.0,UK
540551,"January 10, 2019",85103,Silver T-Light Setting✨,-16.31,9.0,14551.0,U.K.
579187,2019-11-28,21484,CHICK GREY HOT WATER BOTTLE,6.19 EUR,1.0,13187.0,GB
548919,4/5/2019,22980,pantry scrubbing brush,11.94,N/A,13013.0,UK
560601,7/19/2019,21932,Scandinavian Paisley Picnic Bag ,free,1.0,16764.0,England
575258,2019-11-09,21811,Hanging Heart With Bell✨,£10.65,12.0,13623.0,England
C575150,"November 08, 2019",23368,Set 12 Colour Pencils Dolly Girl???,10.92,-3.0,12471.0,Germany
541695,1/20/2019,22090,Paper Bunting Retrospot✨,16.18,N/A,12695.0,France
571117,13-Oct-2019,22111,Scottie Dog Hot Water Bottle✨,£15.32,ten,16224.0,united kingdom
541678,1/20/2019,20759,Chrysanthemum Pocket Book##,free,3.0,17771.0,Gr8 Britain
?,?,?,?,?,?,?,?
,,,,,,,
541221,"January 14, 2019",20675,Blue Polkadot Bowl!!,11.92,6.0,12221.0,Gr8 Britain
548894,"April 04, 2019",22219,Lovebird Hanging Decoration White???,11.92,1.0,13894.0,UK
544767,"February 23, 2019",22467,Gumball Coat Rack ,£15.33,N/A,13767.0,England
553686,1558137600000000000,21896,Potting Shed Twine@@,£12.4,6.0,14911.0,EIRE
,,,,,,,
581439,08-Dec-2019,22583,PACK OF 6 HANDBAG GIFT BOXES,6.19,ten,15439.0,united kingdom
559921,13-Jul-2019,84536A,English Rose Notebook A7 Size@@,$10.68,N/A,13667.0,GB
561513,1564185600000000000,22961,JAM MAKING SET PRINTED,13.62 EUR,N/A,17513.0,Gr8 Britain
556813,2019-06-14,21533,Retrospot Large Milk Jug ,$20.46,N/A,14813.0,United Kingdom
562347,04-Aug-2019,85123A,Cream Hanging Heart T-Light Holder@@,$13.27,4.0,13263.0,GB
559337,"July 07, 2019",23175,Regency Milk Jug Pink✨,17.9 EUR,ten,16337.0,UK
566270,"September 11, 2019",22943,christmas lights 10 vintage baubles,15.32,9.0,16523.0,Gr8 Britain
546991,18-Mar-2019,22403,Magnets Pack Of 4 Vintage Labels✨,11.53,ten,12748.0,Gr8 Britain
577483,11/20/2019,21905,More Butter Metal Sign✨,11.06,N/A,14502.0,UK
575954,1573603200000000000,22578,Wooden Star Christmas Scandinavian!!,10.55,ten,17211.0,U.K.
537823,12/8/2018,22725,Alarm Clock Bakelike Chocolate!!,18.06,1.0,15823.0,U.K.
546892,1552780800000000000,82482,wooden picture frame white finish,15.33,1.0,15892.0,GB
552288,"May 08, 2019",23202,Jumbo Bag Vintage Leaf##,free,10.0,13313.0,Gr8 Britain
566295,2019-09-11,85111,Silver Glitter Flower Votive Holder ,$10.55,ten,15547.0,United Kingdom
553931,1558310400000000000,22920,herb marker basil,free,ten,14911.0,EIRE
,,,,,,,
540402,1546819200000000000,22393,Paperweight Vintage Collage✨,11.12,N/A,16567.0,UK
540827,"January 11, 2019",85184C,Set 4 Valentine Decoupage Heart Box ,$13.27,2.0,17569.0,Gr8 Britain
568049,23-Sep-2019,23264,Set Of 3 Wooden Sleigh Decorations##,11.53 EUR,2.0,17841.0,United Kingdom
554310,5/23/2019,23090,VINTAGE GLASS T-LIGHT HOLDER,11.92,2.0,17310.0,UK
581238,2019-12-08,23371,set 36 colour pencils spaceboy,£7.24,3.0,16238.0,UK
,,,,,,,
563328,2019-08-15,20996,jazz hearts address book,$10.44,1.0,14606.0,U.K.
554392,"May 24, 2019",21561,Dinosaur Lunch Box With Cutlery✨,$12.86,4.0,14534.0,GB
566019,2019-09-08,23092,Large Antique White Photo Frame!!,18.35,N/A,17243.0,GB
570416,10/10/2019,23081,Green Metal Box Army Supplies✨,$18.71,N/A,15608.0,Gr8 Britain
537253,12/6/2018,22328,ROUND SNACK BOXES SET OF 4 FRUITS,$13.27,N/A,12253.0,GB
545842,07-Mar-2019,22191,ivory diner wall clock,18.96,2.0,15498.0,UK
562420,1564876800000000000,82483,Wood 2 Drawer Cabinet White Finish✨,£17.9,3.0,15420.0,United Kingdom
554117,1558483200000000000,23084,RABBIT NIGHT LIGHT,free,6.0,13758.0,GB
546884,"March 17, 2019",22759,set of 3 notebooks in parcel,13.62 EUR,N/A,12884.0,England
546983,18-Mar-2019,84945,multi colour silver t-light holder,11.12,N/A,16626.0,UK
539080,1544918400000000000,21876,Pottering Mug@@,free,ten,16607.0,U.K.
575073,11/8/2019,22579,Wooden Tree Christmas Scandinavian ,$10.55,8.0,13975.0,UK
545579,"March 04, 2019",21078,Set/20 Strawberry Paper Napkins@@,$11.12,24.0,17508.0,GB
577076,11/17/2019,21032,Space Cadet White ,free,N/A,14362.0,united kingdom
548968,05-Apr-2019,84997A,Childrens Cutlery Polkadot Green✨,14.5,12.0,12744.0,Singapore
571710,1571356800000000000,21535,red retrospot small milk jug,free,6.0,13032.0,UK
569556,10/5/2019,22114,Hot Water Bottle Tea And Sympathy ,$14.61,ten,14936.0,Channel Islands
573415,30-Oct-2019,23405,Home Sweet Home 2 Drawer Cabinet???,15.32,N/A,13607.0,England
551305,"April 27, 2019",16156S,Wrap Pink Fairy Cakes ,10.68,25.0,16145.0,UK
553035,12-May-2019,22621,Traditional Knitting Nancy##,11.94,2.0,17337.0,GB
562024,1564617600000000000,85039C,S/4 BLACK MINI ROSE CANDLE IN BOWL,£11.92,1.0,13024.0,united kingdom
548863,04-Apr-2019,21563,RED HEART SHAPE LOVE BUCKET,13.27,ten,15311.0,U.K.
574560,1572825600000000000,23368,Set 12 Colour Pencils Dolly Girl!!,$10.92,16.0,17703.0,united kingdom
557771,2019-06-22,21669,blue stripe ceramic drawer knob,$11.53,12.0,15601.0,United Kingdom
574908,"November 07, 2019",22061,Large Cake Stand Hanging Strawbery???,£20.45,-2,16009.0,united kingdom
562534,"August 05, 2019",21128,Gold Fishing Gnome✨,17.37,2.0,14031.0,GB
539437,1545004800000000000,22620,4 Traditional Spinning Tops???,12.82,1.0,13437.0,U.K.
561042,24-Jul-2019,23206,Lunch Bag Apple Design@@,5.97,10.0,16305.0,united kingdom
559424,2019-07-08,84946,ANTIQUE SILVER T-LIGHT GLASS,$11.53,ten,18121.0,United Kingdom
C570867,"October 12, 2019",22959,Wrap Christmas Village???,$10.68,-25.0,12607.0,USA
559163,7/6/2019,84673A,PINK FLY SWAT,11.06,N/A,16163.0,England
542272,"January 27, 2019",22961,Jam Making Set Printed!!,$11.74,12.0,16496.0,England
544924,2/24/2019,47566,PARTY BUNTING,15.32 EUR,4.0,13851.0,Gr8 Britain
563546,"August 17, 2019",22558,Clothes Pegs Retrospot Pack 24!!,11.94,3.0,16729.0,united kingdom
579187,2019-11-28,90200A,Purple Sweetheart Bracelet✨,6.19,ten,13187.0,UK
538168,2018-12-09,84029E,Red Woolly Hottie White Heart✨,£14.09,2.0,14702.0,United Kingdom
563744,8/19/2019,21394,red polkadot beaker,10.65,ten,13266.0,UK
,,,,,,,
?,?,?,?,?,?,?,?
557324,1560988800000000000,23300,Gardeners Kneeling Pad Cup Of Tea✨,13.62,1.0,12324.0,United Kingdom
574741,2019-11-06,23284,Doormat Keep Calm And Come In!!,18.71,1.0,15993.0,UK
579440,11/29/2019,23158,Set Of 5 Lucky Cat Magnets@@,£6.19,N/A,14388.0,England
556460,"June 12, 2019",23192,bundle of 3 alphabet exercise books,11.94 EUR,12.0,14276.0,united kingdom
540832,"January 11, 2019",20724,Red Retrospot Charlotte Bag##,10.25 EUR,1.0,13832.0,united kingdom
,,,,,,,
569372,03-Oct-2019,84991,60 Teatime Fairy Cake Cases✨,11.53,1.0,15372.0,England
543162,"February 03, 2019",21843,red retrospot cake stand,$21.47,ten,17507.0,England
580284,02-Dec-2019,22755,Small Purple Babushka Notebook✨,6.19,ten,15311.0,UK
550541,2019-04-19,21820,Glitter Heart Garland With Bells???,17.9,N/A,17541.0,united kingdom
569545,10/4/2019,23275,set of 3 hanging owls ollie beak,$12.77,ten,16545.0,united kingdom
,,,,,,,
577410,1574208000000000000,22776,sweetheart 3 tier cake stand,20.45,N/A,14664.0,U.K.
562370,2019-08-04,22600,Christmas Retrospot Star Wood ,11.12,12.0,12626.0,Germany
572567,25-Oct-2019,22534,Magic Drawing Slate Spaceboy!!,10.68,24.0,12398.0,Switzerland
?,?,?,?,?,?,?,?
543397,08-Feb-2019,84378,SET OF 3 HEART COOKIE CUTTERS,free,2.0,17859.0,U.K.
578116,"November 23, 2019",22568,Feltcraft Cushion Owl@@,7.24,8.0,13078.0,united kingdom
551652,1556841600000000000,22090,PAPER BUNTING RETROSPOT,£12.86,N/A,12643.0,France
541253,1/16/2019,85099C,Jumbo Bag Baroque Black White@@,6.13,N/A,17841.0,Gr8 Britain
564161,"August 23, 2019",23090,Vintage Glass T-Light Holder✨,£11.1,ten,14523.0,GB
555836,1559865600000000000,22027,Tea Party Birthday Card ,10.68 EUR,12.0,13098.0,GB
,,,,,,,
546884,17-Mar-2019,85099B,Jumbo Bag Red Retrospot##,7.24 EUR,1.0,12884.0,United Kingdom
577057,2019-11-17,21650,ASSORTED TUTTI FRUTTI BRACELET,10.44 EUR,10.0,12748.0,UK
C567964,2019-09-23,22307,Gold Mug Bone China Tree Of Life##,11.34,ten,12995.0,UK
541695,1/20/2019,84992,72 Sweetheart Fairy Cake Cases???,11.53,1.0,12695.0,France
559896,"July 13, 2019",22745,POPPY'S PLAYHOUSE BEDROOM,£12.4,N/A,15530.0,United Kingdom
558475,2019-06-29,22273,Feltcraft Doll Molly???,16.18,N/A,15475.0,UK
544089,15-Feb-2019,22429,enamel measuring jug cream,free,ten,17089.0,united kingdom
564221,"August 24, 2019",22692,Doormat Welcome To Our Home✨,$27.3,N/A,12221.0,U.K.
546524,14-Mar-2019,84459B,Yellow Metal Chicken Heart ,$11.78,4.0,17811.0,united kingdom
562928,1565395200000000000,22616,pack of 12 london tissues,10.55,36.0,15494.0,united kingdom
,,,,,,,
555540,05-Jun-2019,85183B,Charlie & Lola Wastepaper Bin Flora!!,free,N/A,13668.0,United Kingdom
569374,"October 03, 2019",23427,Stool Home Sweet Home@@,£35.83,N/A,15374.0,UK
544681,"February 22, 2019",84970L,Single Heart Zinc T-Light Holder@@,12.38 EUR,3.0,15681.0,GB
574326,"November 04, 2019",23319,Box Of 6 Mini 50'S Crackers@@,12.8 EUR,6.0,14913.0,England
575177,"November 08, 2019",23207,lunch bag alphabet design,7.24,ten,15177.0,GB
567968,2019-09-23,23353,6 Gift Tags Vintage Christmas!!,£11.1,12.0,12546.0,U.K.
580730,12/5/2019,23162,REGENCY TEA STRAINER,£17.9,ten,15730.0,U.K.
578519,11/24/2019,23491,Vintage Jingle Bells Heart##,$7.24,ten,14591.0,England
551997,2019-05-05,84754,S/15 Silver Glass Baubles In Bag!!,12.77,ten,14997.0,GB
566790,2019-09-15,22960,Jam Making Set With Jars!!,14.09,12.0,17679.0,United Kingdom
546005,3/8/2019,22933,BAKING MOULD EASTER EGG MILK CHOC,13.27,N/A,14426.0,England
568333,"September 26, 2019",85066,Cream Sweetheart Mini Chest✨,£23.32,2.0,15344.0,England
556443,"June 10, 2019",16016,Large Chinese Style Scissor✨,free,N/A,12712.0,Germany
548340,2019-03-30,22035,Vintage Caravan Greeting Card???,10.68,12.0,13426.0,United Kingdom
539324,"December 16, 2018",22535,Magic Drawing Slate Bunnies✨,free,1.0,14985.0,united kingdom
?,?,?,?,?,?,?,?
542541,2019-01-28,15036,Assorted Colours Silk Fan##,11.53 EUR,ten,12541.0,Spain
554137,"May 23, 2019",21672,WHITE SPOT RED CERAMIC DRAWER KNOB,11.53,12.0,12708.0,Germany
577057,1573948800000000000,21896,Potting Shed Twine@@,12.4,1.0,12748.0,United Kingdom
,,,,,,,
570247,"October 10, 2019",22423,Regency Cakestand 3 Tier???,$23.32,3.0,15193.0,United Kingdom
536412,01-Dec-2018,22662,lunch bag dolly girl design,free,ten,17920.0,GB
559205,1562457600000000000,84976,RECTANGULAR SHAPED MIRROR,11.06,72.0,18073.0,U.K.
545530,"March 03, 2019",85208,Set/12 Funky Felt Flower Peg In Bag✨,12.4,12.0,17416.0,United Kingdom
565796,07-Sep-2019,10133,Colouring Pencils Brown Tube@@,10.68 EUR,N/A,14916.0,GB
547386,1553212800000000000,22675,French Kitchen Sign Blue Metal##,12.77,N/A,16386.0,united kingdom
569544,"October 04, 2019",23291,DOLLY GIRL CHILDRENS CUP,12.77,ten,15544.0,England
558501,30-Jun-2019,22798,Antique Glass Dressing Table Pot##,13.27 EUR,8.0,13871.0,UK
537775,08-Dec-2018,22083,Paper Chain Kit Retrospot!!,£13.27,6.0,17722.0,GB
542005,"January 25, 2019",85014B,Red Retrospot Umbrella##,16.35,6.0,14409.0,GB
570792,"October 12, 2019",21094,SET/6 RED SPOTTY PAPER PLATES,£11.12,ten,12709.0,Germany
565366,1567382400000000000,22662,Lunch Bag Dolly Girl Design✨,5.97,10.0,17091.0,United Kingdom
C567681,2019-09-21,20727,Lunch Bag Black Skull@@,free,-5.0,15433.0,GB
541592,"January 19, 2019",16225,Rattle Snake Eggs???,11.1,5.0,16592.0,U.K.
538349,10-Dec-2018,90129A,pink glass tassle bag charm,11.95,ten,16349.0,GB
541485,1547769600000000000,84978,hanging heart jar t-light holder,11.53,1.0,18118.0,united kingdom
579472,29-Nov-2019,85032B,blossom images gift wrap set,6.19,1.0,13521.0,U.K.
543533,09-Feb-2019,22698,Pink Regency Teacup And Saucer ,free,2.0,13533.0,UK
542727,2019-01-31,21166,COOK WITH WINE METAL SIGN,12.25,ten,17604.0,Gr8 Britain
561654,"July 28, 2019",23148,Miniature Antique Rose Hook Ivory##,-11.1,12.0,14973.0,GB
547069,"March 20, 2019",22630,Dolly Girl Lunch Box???,12.25,2.0,16710.0,GB
559525,2019-07-10,84596B,Small Dolly Mix Design Orange Bowl✨,10.68,8.0,16923.0,united kingdom
552057,"May 06, 2019",21980,Pack Of 12 Red Retrospot Tissues##,free,72.0,17504.0,UK
536592,"December 01, 2018",22637,Piggy Bank Retrospot@@,15.44,1.0,16592.0,United Kingdom
548714,2019-04-03,11001,Asstd Design Racing Car Pen!!,£11.98,16.0,17337.0,GB
559896,13-Jul-2019,22746,poppy's playhouse livingroom,12.4 EUR,2.0,15530.0,united kingdom
576617,11/15/2019,23275,Set Of 3 Hanging Owls Ollie Beak✨,free,5.0,16617.0,united kingdom
,,,,,,,
,,,,,,,
554633,"May 25, 2019",16049,Teatime Gel Pens Asst ,10.37,144.0,14287.0,United Kingdom
,,,,,,,
581497,09-Dec-2019,23204,Charlotte Bag Apples Design@@,£6.04,N/A,17497.0,England
545568,1551571200000000000,21981,pack of 12 woodland tissues,11.1,2.0,15568.0,Gr8 Britain
564335,1566604800000000000,23079,Toadstool Bedside Light ,£19.42,1.0,15800.0,England
577167,1574035200000000000,23322,LARGE WHITE HEART OF WICKER,13.27 EUR,ten,16511.0,United Kingdom
577606,11/21/2019,37448,Ceramic Cake Design Spotted Mug ,11.78 EUR,12.0,12462.0,Spain
580276,2019-12-02,21891,traditional wooden skipping rope,6.19,2.0,16426.0,U.K.
561209,"July 25, 2019",48184,DOORMAT ENGLISH ROSE,26.43,ten,14209.0,GB
548208,3/29/2019,22077,6 Ribbons Rustic Charm@@,£11.94,12.0,14189.0,Gr8 Britain
568702,28-Sep-2019,21790,Vintage Snap Cards???,£11.12,ten,17950.0,U.K.
,,,,,,,
575737,"November 11, 2019",22367,CHILDRENS APRON SPACEBOY DESIGN,12.25,16.0,14789.0,Gr8 Britain
564305,8/24/2019,22904,Calendar Paper Cut Design???,£13.27,6.0,14875.0,UK
536464,12/1/2018,22297,HEART IVORY TRELLIS SMALL,11.53,1.0,17968.0,UK
544802,2/23/2019,21269,antique cream cutlery shelf,free,N/A,13149.0,U.K.
563733,"August 18, 2019",21928,Jumbo Bag Scandinavian Blue Paisley✨,6.19,ten,18225.0,Gr8 Britain
578824,25-Nov-2019,22554,Plasters In Tin Woodland Animals ,6.19,ten,17883.0,United Kingdom
540099,04-Jan-2019,21314,Small Glass Heart Trinket Pot ,£12.4,ten,15808.0,U.K.
,,,,,,,
559144,7/6/2019,23206,lunch bag apple design,5.97,10.0,12921.0,England
539453,2018-12-17,22945,Christmas Metal Tags Assorted ,21.55,2.0,14453.0,Gr8 Britain
567304,2019-09-19,21166,Cook With Wine Metal Sign##,£12.38,1.0,14704.0,UK
581181,2019-12-07,21914,blue harmonica in box,6.19,N/A,14189.0,UK
552460,5/9/2019,21936,red retrospot picnic bag,13.27,N/A,13178.0,U.K.
573580,1572480000000000000,21803,CHRISTMAS TREE STAR DECORATION,free,ten,14580.0,united kingdom
566198,9/9/2019,23407,SET OF 2 TRAYS HOME SWEET HOME,$20.45,ten,18109.0,U.K.
540352,"January 06, 2019",20622,Vip Passport Cover✨,11.95 EUR,2.0,13352.0,England
563614,1566086400000000000,23202,Jumbo Bag Vintage Leaf@@,6.04,100.0,12415.0,Australia
550723,2019-04-20,51020A,summer fun design shower cap,free,ten,17454.0,united kingdom
568945,29-Sep-2019,84029E,red woolly hottie white heart,free,4.0,14239.0,Gr8 Britain
559308,2019-07-07,20728,Lunch Bag Cars Blue ,5.97,10.0,13158.0,England
569469,10/4/2019,23190,Bundle Of 3 School Exercise Books!!,11.94,N/A,16360.0,GB
558773,2019-07-03,82484,Wood Black Board Ant White Finish!!,£18.4,1.0,17781.0,united kingdom
558682,2019-07-01,22089,PAPER BUNTING VINTAGE PAISLEY,14.48,1.0,17682.0,United Kingdom
565513,1567641600000000000,22291,hanging chick cream decoration,free,24.0,14401.0,GB
571203,10/14/2019,22666,recipe box pantry yellow design,$13.27,6.0,17677.0,UK
545333,3/1/2019,22470,Heart Of Wicker Large!!,13.27 EUR,N/A,17333.0,England
570690,1570752000000000000,22644,Ceramic Cherry Cake Money Bank##,13.62,1.0,12690.0,England
572897,2019-10-26,47518F,Icon Placemat Pop Art Elvis✨,£14.48,1.0,14897.0,Gr8 Britain
573695,2019-10-31,23554,Landmark Frame Oxford Street!!,free,1.0,15023.0,Gr8 Britain
544107,16-Feb-2019,22084,Paper Chain Kit Empire???,13.27,N/A,15670.0,united kingdom
578935,27-Nov-2019,23289,Dolly Girl Childrens Bowl???,6.19,ten,15351.0,United Kingdom
570857,2019-10-12,21034,Rex Cash+Carry Jumbo Shopper???,11.22,ten,15555.0,England
577010,"November 17, 2019",20983,12 Pencils Tall Tube Red Retrospot???,£11.12,48.0,15506.0,Gr8 Britain
565416,9/4/2019,21980,PACK OF 12 RED RETROSPOT TISSUES,$10.55,24.0,12710.0,Germany
?,?,?,?,?,?,?,?
541220,1547424000000000000,22551,PLASTERS IN TIN SPACEBOY,£11.74,N/A,14156.0,EIRE
539451,2018-12-17,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,14.57,ten,13451.0,UK
552472,"May 09, 2019",20728,Lunch Bag Cars Blue!!,£5.97,10.0,16503.0,Gr8 Britain
,,,,,,,
560568,"July 19, 2019",84755,COLOUR GLASS T-LIGHT HOLDER HANGING,$10.92,48.0,13895.0,united kingdom
580730,05-Dec-2019,22608,pens assorted funky jeweled,free,N/A,15730.0,united kingdom
541827,2019-01-21,85017B,Envelope 50 Blossom Images@@,11.1,1.0,15827.0,England
559350,"July 07, 2019",23080,red metal box top secret,18.71 EUR,4.0,16842.0,united kingdom
542373,"January 27, 2019",22713,CARD I LOVE LONDON,$10.68,N/A,16767.0,England
548514,3/31/2019,22166,Wall Mirror Rectangle Diamante Pink ,free,1.0,16514.0,UK
567929,22-Sep-2019,23245,Set Of 3 Regency Cake Tins ,15.32,4.0,12425.0,Portugal
579168,28-Nov-2019,20986,BLUE CALCULATOR RULER,6.19,25.0,17806.0,United Kingdom
559817,1562889600000000000,21534,Dairy Maid Large Milk Jug##,14.48,10.0,14817.0,UK
575898,11-Nov-2019,23321,Small White Heart Of Wicker ,$11.94,1.0,16368.0,GB
547498,3/23/2019,84519B,Carrot Charlie+Lola Coaster Set???,11.53 EUR,2.0,15021.0,UK
548563,2019-04-01,22501,Picnic Basket Wicker Large✨,20.45 EUR,1.0,18118.0,Gr8 Britain
553922,5/20/2019,22501,Picnic Basket Wicker Large!!,$20.45,ten,17926.0,U.K.
546383,11-Mar-2019,85206A,Cream Felt Easter Egg Basket!!,11.94,N/A,13654.0,England
577689,11/21/2019,22087,PAPER BUNTING WHITE LACE,13.27,ten,17664.0,Gr8 Britain
579267,2019-11-29,23245,SET OF 3 REGENCY CAKE TINS,£6.13,N/A,14961.0,united kingdom
,,,,,,,
,,,,,,,
544917,"February 24, 2019",85099B,Jumbo Bag Red Retrospot!!,$5.97,ten,13751.0,GB
541827,1/21/2019,84913B,mint green rose towel,13.62,1.0,15827.0,GB
573576,1572480000000000000,22469,Heart Of Wicker Small???,£11.92,N/A,14096.0,united kingdom
577919,"November 22, 2019",71510,Square Metal Candleholder Base ,11.12 EUR,N/A,17075.0,U.K.
547906,"March 28, 2019",82578,Kitchen Metal Sign???,£10.81,2.0,14410.0,England
545637,1551657600000000000,22726,alarm clock bakelike green,$14.09,N/A,15514.0,united kingdom
576840,"November 16, 2019",23156,Set Of 5 Mini Grocery Magnets!!,14.48,1.0,14840.0,GB
538636,1544659200000000000,82600,N0 Singing Metal Sign@@,12.4,12.0,14639.0,GB
553189,15-May-2019,21364,peace small wood letters,17.17,ten,15033.0,UK
560504,7/19/2019,23155,Knickerbockerglory Magnet Assorted!!,free,24.0,13081.0,united kingdom
